1014928	salt to taste	salt and freshly ground pepper	garlic cloves	queso fresco	salsa	tomatoes	summer squash	freshly squeezed lime juice	cumin seeds	kosher salt
1014929	tomatoes	lime juice	cumin seeds	large garlic cloves	scallions	parmesan	kosher salt	ginger	corn tortillas	salt to taste
1014920	onion powder	coriander	cumin	cumin seeds	cayenne	ginger	paprika	sweet paprika	kosher salt	extra virgin olive oil
1014921	cayenne	cumin	coriander	tomato paste	sour cream	turmeric	ground cumin	yogurt	onions	caraway seeds
1014922	onion powder	fresh mint	artichokes	coarse kosher salt	salt and ground black pepper	smoked salmon	phyllo dough	salmon caviar	sweet paprika	flat-leaf parsley
1014924	kosher salt	soy sauce	baking soda	ginger	cilantro	dijon mustard	capers	sesame oil	baking powder	fresh lemon juice
1014925	cloves	ginger	minced garlic	tomatoes	carrots	cumin	rose water	vegetable oil	turmeric	flour
1014926	freshly ground pepper	corn tortillas	fresh lemon juice	chopped chives	freshly ground pepper to taste	chopped fresh mint	serrano chiles	minced garlic	minced chives	fresh lime juice
1014927	freshly ground pepper	chopped chives	fresh lemon juice	chopped flat-leaf parsley	summer squash	freshly ground pepper to taste	chopped fresh mint	ripe tomatoes	salt and freshly ground pepper to taste	large onion
11542	extra-virgin olive oil	salt to taste	extra virgin olive oil	all-purpose flour	shallots	thyme	heavy cream	chicken broth	bay leaf	carrots
11543	bread crumbs	beef broth	bacon	parmesan cheese	tomato paste	sage	shallots	chicken broth	dry red wine	onions
11541	cumin	celery	tomatoes	dry white wine	heavy cream	coconut milk	shallots	kosher salt	thyme	bay leaf
11546	baking soda	milk	vanilla extract	all-purpose flour	brown sugar	heavy cream	cloves	vegetable oil	ginger	buttermilk
11547	celery	carrots	tomatoes	chicken broth	shallots	chicken stock	mushrooms	bay leaves	milk	heavy cream
11544	extra virgin olive oil	almond flour	tomatoes	heavy cream	kosher salt	flour	kaffir lime leaves	fresh cilantro	soft-shell crabs	pineapples
11545	flour	cumin	thyme	all-purpose flour	tomatoes	carrots	cinnamon	vanilla extract	dry white wine	potatoes
11548	milk	baking soda	vanilla extract	all-purpose flour	brown sugar	heavy cream	cloves	ginger	vegetable oil	buttermilk
5982	ground coriander	cloves	ginger	thyme	carrots	flour	celery	tomatoes	baking powder	all-purpose flour
5983	dijon-style mustard	worcestershire sauce	cinnamon	dijon mustard	cloves	vanilla extract	flour	potato starch	oil	red wine
5981	egg whites	confectioners' sugar	baking soda	baking powder	granulated sugar	salted butter	vanilla extract	chocolate	cocoa	egg yolks
5987	milk	shallots	lemon juice	flour	chicken broth	chives	parmesan cheese	thyme	lime juice	vanilla extract
6970	thyme	sage	extra-virgin olive oil	celery	white wine	chicken stock	carrots	bay leaves	potatoes	mushrooms
9202	soy sauce	milk	scallions	cinnamon	baking powder	vegetable oil	heavy cream	food coloring	cilantro	chicken broth
7624	turmeric	black peppercorns	cilantro	fennel seeds	potatoes	soy sauce	ginger	cayenne	shallots	caraway seeds
6796	mushrooms	dry white wine	thyme	dijon mustard	heavy cream	bay leaf	chives	carrots	celery	balsamic vinegar
1015529	cumin	ground coriander	ginger	lime juice	turmeric	cumin seeds	scallions	extra-virgin olive oil	kosher salt	extra virgin olive oil
1015528	simple syrup	orange bitters	rye whiskey	orange twist	gin	sweet vermouth	scotch	bourbon	tequila	orange peel
6792	sweetened condensed milk	fromage blanc	sweet corn	pink peppercorns	cottage cheese	pecan halves	melted butter	powdered sugar	ice water	bourbon
6793	confectioners' sugar	chocolate	unsweetened cocoa powder	vanilla extract	cocoa powder	whipped cream	cherries	bourbon	confectioners??? sugar	rum
6971	confectioners' sugar	cocoa powder	corn syrup	hazelnuts	vanilla extract	cocoa	vanilla	heavy cream	raspberries	almonds
6791	basil	bread crumbs	mushrooms	tomato sauce	arborio rice	chicken stock	peas	sage leaves	dry white wine	tomatoes
1015523	vanilla extract	buttermilk	milk	cinnamon	flour	granulated sugar	ground cloves	ground ginger	kosher salt	brown sugar
1015522	garlic cloves, minced	active dry yeast	whole wheat flour	shallots	whole-wheat flour	bay leaf	large eggs	granulated sugar	thyme	heavy cream
1015521	cognac	chocolate	ham	sea scallops	vanilla	egg yolks	bourbon	powdered sugar	pumpkin puree	fish broth
1015520	baking powder	ground cloves	baking soda	granulated sugar	milk	fine sea salt	cinnamon	heavy cream	dark brown sugar	ground nutmeg
1015526	milk	baking powder	vanilla extract	cinnamon	shallots	lemon juice	dry white wine	vegetable broth	all-purpose flour	brown sugar
1015525	carrots	thyme	onions	minced garlic	bay leaf	dry white wine	black peppercorns	chicken broth	chicken stock	tomatoes
1015524	freshly ground pepper	fresh lemon juice	chopped cilantro	large garlic cloves	ground ginger	ground cloves	freshly grated nutmeg	pine nuts	baking powder	cinnamon
1013253	cumin	lime juice	scallions	corn tortillas	ginger	cumin seeds	vegetable oil	soy sauce	tomatoes	onions
1013251	soy sauce	scallions	lime juice	sesame oil	cumin	cinnamon	vegetable oil	tomatoes	turmeric	cayenne
1013250	sesame oil	cilantro	peanut oil	vegetable oil	sesame seeds	chicken stock	cinnamon	onions	brown sugar	lemon juice
1013257	granulated sugar	fine sea salt	angostura bitters	egg yolks	tart apples	bittersweet chocolate	corn syrup	pecans	maple syrup	light brown sugar
