1014928	monterey jack cheese	plump garlic cloves	baby spinach	shiitake mushrooms	small garlic clove	queso fresco	fish fillets	can chopped tomatoes	green chiles	lime wedges
1014929	pine nuts	basil	freshly grated parmesan cheese	monterey jack cheese	cucumbers	red pepper flakes	parmesan	scallions	ginger	jalape??os
1014920	matzos	white rice	bay	oysters	italian sausage	chopped garlic	fennel	cloves garlic	couscous	spinach
1014921	vegetables	cannellini beans	sea salt	bulgur	fennel seeds	milk	spinach	yeast	cheese	portobello mushrooms
1014922	matzos	phyllo	sorrel	lemon wedges	yellow squash	artichoke hearts	vodka	spinach	salmon	white pepper
1014924	worcestershire sauce	grated lemon zest	phyllo	sorrel	avocados	lemon wedges	mint leaves	chilis	red onions	yellow squash
1014925	chia seeds	cottage cheese	agave nectar	almond extract	food coloring	parmigiano-reggiano cheese	dried apricots	cashews	chopped mint	freshly squeezed lemon juice
1014926	pecorino cheese	swordfish	plum tomatoes	chopped walnuts	marjoram	skirt steaks	radishes	russet potatoes	bibb lettuces	lard
1014927	dried cranberries	green chilies	sriracha	red chile flakes	plum tomatoes	chopped walnuts	marjoram	skirt steaks	ripe tomatoes	arborio
11542	sun-dried tomatoes	small red onion	lemon rind	oats	fingerling potatoes	cornichons	whiskey	bread flour	portobello mushrooms	country bread
11543	yellow onions	stock or water	red wine	potatoes	vegetables	garlic	orecchiette	chicken livers	bay leaf	pecorino cheese
11541	large eggs	milk	all-purpose flour	port	ground black pepper	large onion	baking potatoes	chervil	sugar	white bread
11546	egg yolks	sharp cheddar cheese	food coloring	chocolate	green onions	hot red-pepper flakes	shortening	vegetable shortening	light brown sugar	confectioners??? sugar
11547	green lentils	cremini mushrooms	brussels sprouts	parmesan cheese	ground beef	mustard	butter	sweet red pepper	horseradish	garlic cloves (to taste)
11544	rum	extra-virgin olive oil	lemon zest	egg yolks	grapefruits	flat-leaf parsley	walnut pieces	unsalted butter	broccoli	cocoa
11545	bananas	all-purpose flour	cold unsalted butter	cornstarch	flour	sugar	toast	cauliflowers	medium onions	coconuts
11548	sharp cheddar cheese	food coloring	egg yolks	hot red-pepper flakes	green onions	yams	vegetable shortening	light brown sugar	confectioners??? sugar	milk
5982	food coloring	penne	sharp cheddar cheese	cilantro leaves	green plantains	rolls	fresh rosemary	bread flour	corn kernels	chili powder
5983	duck breasts	white flour	margarine	mushrooms	ribs	celery	ground black pepper	fresh sage	beans	red chilis
5981	grated ginger	mirin	apricots	unsalted butter	cake	chocolate chips	salt and freshly ground pepper	espresso	vanilla extract	butter
5987	fettuccine	cold unsalted butter	cornstarch	ricotta salata	vermouth	leg of lamb	champagne	lemon wedges	apple cider	orange peel
6970	extra-virgin olive oil	medium onions	pork	cannellini beans	thyme	large eggs	black olives	french bread	milk	goat cheese
9202	large eggs	sugar	chervil	anchovy	sake	butter	rice flour	milk	vegetable oil	egg yolks
7624	fennel seeds	grated parmesan cheese	watercress	egg noodles	sauerkraut	marjoram leaves	chili powder	mustard	fresh basil leaves	turnips
6796	cannellini beans	fresh rosemary	sea salt	yeast	spinach	breadcrumbs	cloves garlic	medium onions	frozen peas	vegetable broth
1015529	pork shoulder	cloves garlic	green plantains	ginger	cilantro leaves	medium onions	large onion	basil leaves	fennel seeds	fresh tarragon
